	alpha	epsilon	gamma	penalties	penalties_last_10	perc_to_deadline	perc_to_deadline_last_10	scores	scores_last_10	steps	steps_last_10	successes	successes_last_10
0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	3108.75	0.0	0.0	0.0
1	0.0	0.2	0.0	0.0	0.0	3.0	3.0	0.0	0.0	3063.0	0.0	0.0	0.0
2	0.0	0.4	0.0	0.0	0.0	3.0	3.0	0.0	0.0	3096.5	0.0	0.0	0.0
3	0.0	0.6	0.0	0.0	0.0	3.0	3.0	0.0	0.0	3043.25	0.0	0.0	0.0
4	0.0	0.8	0.0	0.0	0.0	3.0	3.0	0.0	0.0	3096.75	0.0	0.0	0.0
5	0.0	1.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	3080.0	0.0	0.0	0.0
6	0.0	0.0	0.2	0.0	0.0	3.0	3.0	0.0	0.0	3077.0	0.0	0.0	0.0
7	0.0	0.2	0.2	0.0	0.0	3.0	3.0	0.0	0.0	3078.25	0.0	0.0	0.0
8	0.0	0.4	0.2	0.0	0.0	3.0	3.0	0.0	0.0	3062.75	0.0	0.0	0.0
9	0.0	0.6	0.2	0.0	0.0	3.0	3.0	0.0	0.0	3115.5	0.0	0.0	0.0
10	0.0	0.8	0.2	0.0	0.0	3.0	3.0	0.0	0.0	3103.75	0.0	0.0	0.0
11	0.0	1.0	0.2	0.0	0.0	3.0	3.0	0.0	0.0	3066.25	0.0	0.0	0.0
12	0.0	0.0	0.4	0.0	0.0	3.0	3.0	0.0	0.0	3069.25	0.0	0.0	0.0
13	0.0	0.2	0.4	0.0	0.0	3.0	3.0	0.0	0.0	3069.5	0.0	0.0	0.0
14	0.0	0.4	0.4	0.0	0.0	3.0	3.0	0.0	0.0	3087.0	0.0	0.0	0.0
15	0.0	0.6	0.4	0.0	0.0	3.0	3.0	0.0	0.0	3108.25	0.0	0.0	0.0
16	0.0	0.8	0.4	0.0	0.0	3.0	3.0	0.0	0.0	3093.75	0.0	0.0	0.0
17	0.0	1.0	0.4	0.0	0.0	3.0	3.0	0.0	0.0	3048.75	0.0	0.0	0.0
18	0.0	0.0	0.6	0.0	0.0	3.0	3.0	0.0	0.0	3059.75	0.0	0.0	0.0
19	0.0	0.2	0.6	0.0	0.0	3.0	3.0	0.0	0.0	3065.5	0.0	0.0	0.0
20	0.0	0.4	0.6	0.0	0.0	3.0	3.0	0.0	0.0	3113.75	0.0	0.0	0.0
21	0.0	0.6	0.6	0.0	0.0	3.0	3.0	0.0	0.0	3098.75	0.0	0.0	0.0
22	0.0	0.8	0.6	0.0	0.0	3.0	3.0	0.0	0.0	3100.5	0.0	0.0	0.0
23	0.0	1.0	0.6	0.0	0.0	3.0	3.0	0.0	0.0	3103.25	0.0	0.0	0.0
24	0.0	0.0	0.8	0.0	0.0	3.0	3.0	0.0	0.0	3061.25	0.0	0.0	0.0
25	0.0	0.2	0.8	0.0	0.0	3.0	3.0	0.0	0.0	3068.25	0.0	0.0	0.0
26	0.0	0.4	0.8	0.0	0.0	3.0	3.0	0.0	0.0	3042.75	0.0	0.0	0.0
27	0.0	0.6	0.8	0.0	0.0	3.0	3.0	0.0	0.0	3089.75	0.0	0.0	0.0
28	0.0	0.8	0.8	0.0	0.0	3.0	3.0	0.0	0.0	3093.5	0.0	0.0	0.0
29	0.0	1.0	0.8	0.0	0.0	3.0	3.0	0.0	0.0	3100.25	0.0	0.0	0.0
30	0.0	0.0	1.0	0.0	0.0	3.0	3.0	0.0	0.0	3092.0	0.0	0.0	0.0
31	0.0	0.2	1.0	0.0	0.0	3.0	3.0	0.0	0.0	3107.0	0.0	0.0	0.0
