	alpha	avg_perc_to_deadline	avg_perc_to_deadline_last_10	eps_iters	epsilon	gamma	last_10_successes	scores	scores_last_10	successes
0	0.0	3.0	3.0	101.0	0.0	0.0	0.0	0.0	0.0	0.0
1	0.0	3.0	3.0	101.0	0.2	0.0	0.0	0.0	0.0	0.0
2	0.0	3.0	3.0	101.0	0.4	0.0	0.0	0.0	0.0	0.0
3	0.0	3.0	3.0	101.0	0.6	0.0	0.0	0.0	0.0	0.0
4	0.0	3.0	3.0	101.0	0.8	0.0	0.0	0.0	0.0	0.0
5	0.0	3.0	3.0	101.0	1.0	0.0	0.0	0.0	0.0	0.0
6	0.0	3.0	3.0	101.0	0.0	0.2	0.0	0.0	0.0	0.0
7	0.0	3.0	3.0	101.0	0.2	0.2	0.0	0.0	0.0	0.0
8	0.0	3.0	3.0	101.0	0.4	0.2	0.0	0.0	0.0	0.0
9	0.0	3.0	3.0	101.0	0.6	0.2	0.0	0.0	0.0	0.0
10	0.0	3.0	3.0	101.0	0.8	0.2	0.0	0.0	0.0	0.0
11	0.0	3.0	3.0	101.0	1.0	0.2	0.0	0.0	0.0	0.0
12	0.0	3.0	3.0	101.0	0.0	0.4	0.0	0.0	0.0	0.0
13	0.0	3.0	3.0	101.0	0.2	0.4	0.0	0.0	0.0	0.0
14	0.0	3.0	3.0	101.0	0.4	0.4	0.0	0.0	0.0	0.0
15	0.0	3.0	3.0	101.0	0.6	0.4	0.0	0.0	0.0	0.0
16	0.0	3.0	3.0	101.0	0.8	0.4	0.0	0.0	0.0	0.0
17	0.0	3.0	3.0	101.0	1.0	0.4	0.0	0.0	0.0	0.0
18	0.0	3.0	3.0	101.0	0.0	0.6	0.0	0.0	0.0	0.0
19	0.0	3.0	3.0	101.0	0.2	0.6	0.0	0.0	0.0	0.0
20	0.0	3.0	3.0	101.0	0.4	0.6	0.0	0.0	0.0	0.0
21	0.0	3.0	3.0	101.0	0.6	0.6	0.0	0.0	0.0	0.0
22	0.0	3.0	3.0	101.0	0.8	0.6	0.0	0.0	0.0	0.0
23	0.0	3.0	3.0	101.0	1.0	0.6	0.0	0.0	0.0	0.0
24	0.0	3.0	3.0	101.0	0.0	0.8	0.0	0.0	0.0	0.0
25	0.0	3.0	3.0	101.0	0.2	0.8	0.0	0.0	0.0	0.0
26	0.0	3.0	3.0	101.0	0.4	0.8	0.0	0.0	0.0	0.0
27	0.0	3.0	3.0	101.0	0.6	0.8	0.0	0.0	0.0	0.0
28	0.0	3.0	3.0	101.0	0.8	0.8	0.0	0.0	0.0	0.0
29	0.0	3.0	3.0	101.0	1.0	0.8	0.0	0.0	0.0	0.0
30	0.0	3.0	3.0	101.0	0.0	1.0	0.0	0.0	0.0	0.0
31	0.0	3.0	3.0	101.0	0.2	1.0	0.0	0.0	0.0	0.0
32	0.0	3.0	3.0	101.0	0.4	1.0	0.0	0.0	0.0	0.0
33	0.0	3.0	3.0	101.0	0.6	1.0	0.0	0.0	0.0	0.0
34	0.0	3.0	3.0	101.0	0.8	1.0	0.0	0.0	0.0	0.0
35	0.0	3.0	3.0	101.0	1.0	1.0	0.0	0.0	0.0	0.0
36	0.2	0.964440243555	0.101041666667	5.4	0.0	0.0	9.85	1912.875	219.525	82.25
37	0.2	0.966073599197	0.23	34.05	0.2	0.0	9.8	1904.125	223.0	81.95
38	0.2	0.958090629074	0.075	53.8	0.4	0.0	9.95	1919.1	222.675	82.4
39	0.2	0.961021541015	0.0625	74.0	0.6	0.0	9.9	1936.275	230.275	82.55
40	0.2	0.948289767432	0.03	94.2	0.8	0.0	9.95	1929.2	225.025	82.8
41	0.2	0.939546035558	0.0775	101.0	1.0	0.0	9.85	1931.3	223.95	82.8
42	0.2	1.20859063141	0.666488095238	4.7	0.0	0.2	9.1	2189.9	278.5	73.9
43	0.2	1.2201180836	0.289861111111	38.95	0.2	0.2	9.5	2136.725	270.4	73.5
44	0.2	1.22464532051	0.479053571429	60.7	0.4	0.2	9.4	2182.625	267.675	73.6
45	0.2	1.20807761331	0.4875	81.1	0.6	0.2	9.45	2228.3	272.75	74.5
46	0.2	1.25243741844	0.666805555556	100.95	0.8	0.2	9.15	2215.725	277.625	72.7
47	0.2	1.23657497681	0.389678571429	101.0	1.0	0.2	9.5	2179.25	281.35	73.25
48	0.2	1.37283596816	0.724404761905	3.65	0.0	0.4	8.75	2092.025	280.275	68.2
49	0.2	1.40940597837	0.592738095238	43.05	0.2	0.4	9.1	2088.225	282.4	67.0
50	0.2	1.36301589277	0.627142857143	65.25	0.4	0.4	9.1	2127.125	293.75	68.6
51	0.2	1.39390113696	0.654419642857	88.25	0.6	0.4	9.05	2072.2	279.85	67.75
52	0.2	1.40899677896	0.599166666667	101.0	0.8	0.4	9.05	2077.2	282.075	66.6
53	0.2	1.45139215867	0.882063492063	101.0	1.0	0.4	9.1	2071.875	280.65	66.0
54	0.2	1.59557554553	0.97589021164	7.55	0.0	0.6	8.75	1932.825	277.6	60.6
55	0.2	1.66806511182	1.39946428571	47.05	0.2	0.6	8.4	1900.925	275.675	58.3
56	0.2	1.6110174484	0.744166666667	74.4	0.4	0.6	9.15	1891.075	277.475	59.8
57	0.2	1.69223414838	0.975892857143	95.85	0.6	0.6	8.4	1838.65	277.275	56.95
58	0.2	1.62220211662	1.21013888889	101.0	0.8	0.6	8.55	1882.7	274.4	59.2
59	0.2	1.66586579353	0.90139484127	101.0	1.0	0.6	8.35	1799.5	244.5	57.2
60	0.2	1.9038896079	1.2582390873	4.6	0.0	0.8	7.4	1571.625	268.525	48.55
61	0.2	1.80678901797	0.999166666667	49.25	0.2	0.8	8.35	1639.3	265.875	52.8
62	0.2	1.8766567768	1.53805555556	85.05	0.4	0.8	7.15	1597.7	281.475	49.05
63	0.2	1.76116084293	0.81349702381	98.0	0.6	0.8	8.7	1664.05	272.475	54.1
64	0.2	1.79807903309	0.980555555556	101.0	0.8	0.8	7.8	1663.6	245.75	52.4
65	0.2	1.92715734678	1.36035714286	101.0	1.0	0.8	7.4	1582.775	246.375	47.9
66	0.2	3.0	3.0	101.0	0.0	1.0	0.0	0.0	0.0	0.0
67	0.2	3.0	3.0	101.0	0.2	1.0	0.0	0.0	0.0	0.0
68	0.2	3.0	3.0	101.0	0.4	1.0	0.0	0.0	0.0	0.0
69	0.2	3.0	3.0	101.0	0.6	1.0	0.0	0.0	0.0	0.0
70	0.2	3.0	3.0	101.0	0.8	1.0	0.0	0.0	0.0	0.0
71	0.2	3.0	3.0	101.0	1.0	1.0	0.0	0.0	0.0	0.0
72	0.4	0.696933408156	0.351428571429	5.7	0.0	0.0	9.8	2080.475	220.4	91.2
73	0.4	0.677984784818	0.1375	24.95	0.2	0.0	9.85	2081.65	223.275	91.5
74	0.4	0.685924298865	0.0166666666667	45.25	0.4	0.0	9.95	2097.0	225.35	91.2
75	0.4	0.680250396825	0.0	65.55	0.6	0.0	10.0	2066.2	222.65	91.2
76	0.4	0.677421172544	0.03	85.2	0.8	0.0	9.95	2089.725	217.025	91.7
77	0.4	0.677884530145	0.05	101.0	1.0	0.0	9.95	2093.95	225.225	91.55
78	0.4	0.820337584456	0.0614285714286	4.1	0.0	0.2	9.85	2164.05	235.25	87.1
79	0.4	0.806679974346	0.0964285714286	28.25	0.2	0.2	9.9	2178.7	233.95	87.15
80	0.4	0.815995643778	0.1875	49.45	0.4	0.2	9.9	2132.525	232.65	86.95
81	0.4	0.820407239524	0.2	69.65	0.6	0.2	9.85	2190.575	225.875	86.9
82	0.4	0.816743614387	0.075	89.5	0.8	0.2	9.85	2194.875	232.6	87.3
83	0.4	0.80531024775	0.075	101.0	1.0	0.2	9.95	2167.75	229.3	87.5
84	0.4	1.08584475542	0.500833333333	3.55	0.0	0.4	9.4	2472.725	281.1	78.5
85	0.4	1.04851592981	0.554375	31.35	0.2	0.4	9.1	2429.375	272.925	79.3
86	0.4	1.0624306173	0.55880952381	53.65	0.4	0.4	9.15	2469.2	294.9	79.15
87	0.4	1.12226322364	0.647857142857	78.0	0.6	0.4	9.15	2431.225	282.65	77.1
88	0.4	1.02740444009	0.209722222222	96.1	0.8	0.4	9.65	2484.125	293.0	80.4
89	0.4	1.07521078657	0.483125	101.0	1.0	0.4	9.2	2442.75	281.825	78.2
90	0.4	1.30767923604	0.742071428571	4.55	0.0	0.6	8.8	2323.55	291.625	70.4
91	0.4	1.32459019348	0.927361111111	36.45	0.2	0.6	8.5	2313.975	279.425	70.05
92	0.4	1.3036043825	1.0110952381	61.0	0.4	0.6	8.7	2337.25	273.125	70.8
93	0.4	1.21818730303	0.470053571429	81.25	0.6	0.6	9.3	2275.8	283.95	73.75
94	0.4	1.26585852242	0.3603125	100.25	0.8	0.6	9.4	2324.325	284.225	72.3
95	0.4	1.22774783091	0.586220238095	101.0	1.0	0.6	9.25	2309.4	273.275	73.75
96	0.4	1.50005390708	0.961669642857	5.3	0.0	0.8	8.4	2045.35	258.475	63.5
97	0.4	1.5635991764	0.922914186508	41.3	0.2	0.8	8.45	2042.525	262.675	61.4
98	0.4	1.52749814349	1.23097718254	69.75	0.4	0.8	8.15	2121.225	288.65	62.65
99	0.4	1.56135566065	1.25595238095	92.35	0.6	0.8	8.15	2021.8	265.4	61.1
